ptObj.x|ptObj.y|damage|score|idxObjImg
1700|500|0|10|0
1770|500|0|10|0
1840|500|0|10|0
1910|500|0|10|0
1980|500|0|10|0
2050|500|0|10|0
2120|500|0|10|0
2180|440|0|20|2
2240|390|0|30|3
2300|390|0|30|3
2360|440|0|20|2
2430|500|0|10|0
2500|500|0|10|0
2570|500|0|10|0
2640|500|0|10|0
2710|500|0|10|0
2780|500|0|10|0
2850|500|0|10|0
2920|500|0|10|0
2990|500|0|10|0
3060|500|0|10|0
3130|500|0|10|0
3200|500|0|10|0
3270|500|0|10|0
3340|500|0|10|0
3410|500|0|10|0
3480|500|0|10|0
3550|500|0|10|0
3620|500|0|10|0
3690|500|0|10|0
3760|500|0|10|0
3830|500|0|10|0
3890|440|0|20|2
3950|390|0|30|3
4010|390|0|30|3
4070|440|0|20|2
4140|500|0|10|0
4210|500|0|10|0
4280|500|0|10|0
4350|500|0|10|0
4420|500|0|10|0
4490|500|0|10|0
4560|500|0|10|0
4630|500|0|10|0
4700|500|0|10|0
4770|500|0|10|0
4840|500|0|10|0
4980|450|0|10|0
4965|385|0|30|3
4980|330|0|10|0
5050|450|0|10|0
5050|390|0|10|0
5050|330|0|10|0
5105|445|0|30|3
5120|390|0|10|0
5120|330|0|10|0
5190|450|0|10|0
5190|390|0|10|0
5175|325|0|30|3
5260|450|0|10|0
5245|385|0|30|3
5260|330|0|10|0
5330|450|0|10|0
5330|390|0|10|0
5330|330|0|10|0
5385|445|0|30|3
5400|390|0|10|0
5400|330|0|10|0
5470|450|0|10|0
5470|390|0|10|0
5455|325|0|30|3
5540|450|0|10|0
5525|385|0|30|3
5540|330|0|10|0
5610|450|0|10|0
5610|390|0|10|0
5610|330|0|10|0
5665|445|0|30|3
5680|390|0|10|0
5680|330|0|10|0
5750|450|0|10|0
5750|390|0|10|0
5735|325|0|30|3
5820|450|0|10|0
5805|385|0|30|3
5820|330|0|10|0
5890|450|0|10|0
5890|390|0|10|0
5890|330|0|10|0
5945|445|0|30|3
5960|390|0|10|0
5960|330|0|10|0
6030|450|0|10|0
6030|390|0|10|0
6015|325|0|30|3
6100|450|0|10|0
6085|385|0|30|3
6100|330|0|10|0
6170|450|0|10|0
6170|390|0|10|0
6170|330|0|10|0
6225|445|0|30|3
6240|390|0|10|0
6240|330|0|10|0
6310|450|0|10|0
6310|390|0|10|0
6295|325|0|30|3
6590|500|0|10|0
6660|500|0|10|0
6730|500|0|10|0
6800|500|0|10|0
6870|500|0|10|0
6940|500|0|10|0
